q,updated_at,items_json
오징어 게임 티저 예고편,2025-10-21T03:46:45.746587Z,"[{""id"": ""bqECUTAk9do"", ""title"": ""오징어 게임 시즌 3 | 공식 티저 예고편 | 넷플릭스"", ""channel"": ""Netflix Korea 넷플릭스 코리아"", ""publishedAt"": ""2025-05-05T23:00:00Z"", ""thumb"": ""https://i.ytimg.com/vi/bqECUTAk9do/hqdefault.jpg""}, {""id"": ""lFMobna17QU"", ""title"": ""오징어 게임 | 티저 예고편 | 넷플릭스"", ""channel"": ""Netflix Korea 넷플릭스 코리아"", ""publishedAt"": ""2021-08-16T00:00:00Z"", ""thumb"": ""https://i.ytimg.com/vi/lFMobna17QU/hqdefault.jpg""}, {""id"": ""iJsWRpSetq0"", ""title"": ""오징어 게임 시즌2 | 공식 티저 예고편 | 넷플릭스"", ""channel"": ""Netflix Korea 넷플릭스 코리아"", ""publishedAt"": ""2024-10-31T19:00:05Z"", ""thumb"": ""https://i.ytimg.com/vi/iJsWRpSetq0/hqdefault.jpg""}, {""id"": ""vjAPaiOckeE"", ""title"": ""오징어 게임 시즌 3 | 파이널 예고편 | 넷플릭스"", ""channel"": ""Netflix Korea 넷플릭스 코리아"", ""publishedAt"": ""2025-06-13T23:00:05Z"", ""thumb"": ""https://i.ytimg.com/vi/vjAPaiOckeE/hqdefault.jpg""}]"
오징어게임 티저 예고편,2025-09-18T19:23:25.147481Z,"[{""id"": ""lFMobna17QU"", ""title"": ""오징어 게임 | 티저 예고편 | 넷플릭스"", ""channel"": ""Netflix Korea 넷플릭스 코리아"", ""publishedAt"": ""2021-08-16T00:00:00Z"", ""thumb"": ""https://i.ytimg.com/vi/lFMobna17QU/hqdefault.jpg""}, {""id"": ""bqECUTAk9do"", ""title"": ""오징어 게임 시즌 3 | 공식 티저 예고편 | 넷플릭스"", ""channel"": ""Netflix Korea 넷플릭스 코리아"", ""publishedAt"": ""2025-05-05T23:00:00Z"", ""thumb"": ""https://i.ytimg.com/vi/bqECUTAk9do/hqdefault.jpg""}, {""id"": ""iJsWRpSetq0"", ""title"": ""오징어 게임 시즌2 | 공식 티저 예고편 | 넷플릭스"", ""channel"": ""Netflix Korea 넷플릭스 코리아"", ""publishedAt"": ""2024-10-31T19:00:05Z"", ""thumb"": ""https://i.ytimg.com/vi/iJsWRpSetq0/hqdefault.jpg""}, {""id"": ""vjAPaiOckeE"", ""title"": ""오징어 게임 시즌 3 | 파이널 예고편 | 넷플릭스"", ""channel"": ""Netflix Korea 넷플릭스 코리아"", ""publishedAt"": ""2025-06-13T23:00:05Z"", ""thumb"": ""https://i.ytimg.com/vi/vjAPaiOckeE/hqdefault.jpg""}]"
케이팝 데몬 헌터스 티저 예고편,2025-11-02T18:16:18.021760Z,"[{""id"": ""xQnsFqn44uo"", ""title"": ""케이팝 데몬 헌터스 | 공식 예고편 | 넷플릭스"", ""channel"": ""Netflix Korea 넷플릭스 코리아"", ""publishedAt"": ""2025-05-22T16:00:00Z"", ""thumb"": ""https://i.ytimg.com/vi/xQnsFqn44uo/hqdefault.jpg""}, {""id"": ""eny0BqmSwmM"", ""title"": ""사자 보이즈(Saja Boys) - SODA POP (Official Lyric Video) | 케이팝 데몬 헌터스 | 넷플릭스"", ""channel"": ""Netflix Korea 넷플릭스 코리아"", ""publishedAt"": ""2025-06-23T04:41:05Z"", ""thumb"": ""https://i.ytimg.com/vi/eny0BqmSwmM/hqdefault.jpg""}, {""id"": ""I9-Kt_-xGF4"", ""title"": ""[실시간] 강남역 사자보이즈 &amp; 더피 출몰🐾ㅣ케이팝 데몬 헌터스"", ""channel"": ""Netflix Korea 넷플릭스 코리아"", ""publishedAt"": ""2025-08-22T06:00:00Z"", ""thumb"": ""https://i.ytimg.com/vi/I9-Kt_-xGF4/hqdefault.jpg""}, {""id"": ""CP0PVKXZAoE"", ""title"": ""KPop Demon Hunters 2 (2027) | New Trailer | Netflix"", ""channel"": ""Avenlis Studio"", ""publishedAt"": ""2025-10-24T11:30:06Z"", ""thumb"": ""https://i.ytimg.com/vi/CP0PVKXZAoE/hqdefault.jpg""}]"
사내맞선 티저 예고편,2025-09-18T20:58:12.904624Z,"[{""id"": ""y9HugCpKbxM"", ""title"": ""사내맞선 예고편"", ""channel"": ""김세정 팬계정 KIMSEJEONG FAN"", ""publishedAt"": ""2022-01-01T01:03:32Z"", ""thumb"": ""https://i.ytimg.com/vi/y9HugCpKbxM/hqdefault.jpg""}, {""id"": ""8jNShObvM38"", ""title"": ""[티저1] SBS 새 월화드라마 &#39;사내맞선&#39; 얼굴천재 CEO 안효섭, 김세정에게 급발진 프로포즈💚 2/28(월) 첫 방송!  #SBSCatch"", ""channel"": ""SBS Catch"", ""publishedAt"": ""2022-01-24T06:07:33Z"", ""thumb"": ""https://i.ytimg.com/vi/8jNShObvM38/hqdefault.jpg""}, {""id"": ""rbCmXCkzgUY"", ""title"": ""[2차 티저] 김세정 &#39;아슬아슬 이중생활&#39; 맞선남이 우리 회사 사장?! &#39;사내맞선&#39; 2월 21일[월] 밤 10시 첫 방송! #사내맞선 #businessproposal｜SBSNOW"", ""channel"": ""SBS "", ""publishedAt"": ""2022-02-03T01:05:22Z"", ""thumb"": ""https://i.ytimg.com/vi/rbCmXCkzgUY/hqdefault.jpg""}, {""id"": ""fblJoQGPe_U"", ""title"": ""사내맞선 예고편"", ""channel"": ""겜늅이"", ""publishedAt"": ""2022-04-30T06:01:44Z"", ""thumb"": ""https://i.ytimg.com/vi/fblJoQGPe_U/hqdefault.jpg""}]"
사내 맞선 티저 예고편,2025-11-06T12:21:58.642739Z,"[{""id"": ""L9jC4Gfgkco"", ""title"": ""[스페셜 티저] 2022년 SBS 새 월화 드라마 &#39;사내맞선&#39; 안효섭X김세정 범상치 않은 로코 2월 첫 방송💛 #SBSCatch"", ""channel"": ""SBS Catch"", ""publishedAt"": ""2021-12-31T15:05:01Z"", ""thumb"": ""https://i.ytimg.com/vi/L9jC4Gfgkco/hqdefault.jpg""}, {""id"": ""rbCmXCkzgUY"", ""title"": ""[2차 티저] 김세정 &#39;아슬아슬 이중생활&#39; 맞선남이 우리 회사 사장?! &#39;사내맞선&#39; 2월 21일[월] 밤 10시 첫 방송! #사내맞선 #businessproposal｜SBSNOW"", ""channel"": ""SBS "", ""publishedAt"": ""2022-02-03T01:05:22Z"", ""thumb"": ""https://i.ytimg.com/vi/rbCmXCkzgUY/hqdefault.jpg""}, {""id"": ""8jNShObvM38"", ""title"": ""[티저1] SBS 새 월화드라마 &#39;사내맞선&#39; 얼굴천재 CEO 안효섭, 김세정에게 급발진 프로포즈💚 2/28(월) 첫 방송!  #SBSCatch"", ""channel"": ""SBS Catch"", ""publishedAt"": ""2022-01-24T06:07:33Z"", ""thumb"": ""https://i.ytimg.com/vi/8jNShObvM38/hqdefault.jpg""}, {""id"": ""IYyPzIuQRMY"", ""title"": ""[티저3] 안효섭X김세정, 대환장 맞선 프로제트 시작! &#39;사내 맞선&#39; 2/28(월) 첫 방송🤍  #SBSCatch"", ""channel"": ""SBS Catch"", ""publishedAt"": ""2022-02-10T01:00:08Z"", ""thumb"": ""https://i.ytimg.com/vi/IYyPzIuQRMY/hqdefault.jpg""}]"
미스터 션샤인 티저 예고편,2025-10-28T04:34:03.151912Z,"[{""id"": ""VccWzgCxnDA"", ""title"": ""드라마 [미스터 션샤인] 예고편: 이병헌, 김태리, 유연석, 변요한, 김민정: 2018: 추천 작품: Mr.Sunshine"", ""channel"": ""컬처앤스타 Culture N Star"", ""publishedAt"": ""2023-05-05T04:28:59Z"", ""thumb"": ""https://i.ytimg.com/vi/VccWzgCxnDA/hqdefault.jpg""}, {""id"": ""pHY8AdAZg4g"", ""title"": ""Mr. Sunshine 이병헌x김태리x유연석x김민정x변요한 미스터 션샤인 티져 180707 EP.0"", ""channel"": ""tvN DRAMA"", ""publishedAt"": ""2018-04-07T07:31:00Z"", ""thumb"": ""https://i.ytimg.com/vi/pHY8AdAZg4g/hqdefault.jpg""}, {""id"": ""1TkdeD8wfQM"", ""title"": ""&quot;Mr. Sunshine&quot; (2018) - Official Trailer - Korean Drama"", ""channel"": ""Unreel"", ""publishedAt"": ""2018-06-29T03:20:05Z"", ""thumb"": ""https://i.ytimg.com/vi/1TkdeD8wfQM/hqdefault.jpg""}, {""id"": ""VtSNbTkP4CQ"", ""title"": ""[Eng Sub] (20180526) Mr. Sunshine / 미스터 션샤인 New teaser"", ""channel"": ""YeoNiverse - Yoo Yeon Seok Fansite"", ""publishedAt"": ""2018-05-28T14:51:03Z"", ""thumb"": ""https://i.ytimg.com/vi/VtSNbTkP4CQ/hqdefault.jpg""}]"
홍제역 티저 예고편,2025-10-26T20:11:56.024178Z,"[{""id"": ""TXIgfjgN9NA"", ""title"": ""영화 &quot;세계일주&quot; 예고편"", ""channel"": ""엔조이컬쳐"", ""publishedAt"": ""2015-03-13T03:00:12Z"", ""thumb"": ""https://i.ytimg.com/vi/TXIgfjgN9NA/hqdefault.jpg""}, {""id"": ""UmFbTax1qpQ"", ""title"": ""[14개동 이야기_홍제2동편] 주민센터에서 이것까지 배울수 있다고?ㅣ홍제2동 주민 자치 프로그램"", ""channel"": ""서대문구청"", ""publishedAt"": ""2022-09-05T04:37:53Z"", ""thumb"": ""https://i.ytimg.com/vi/UmFbTax1qpQ/hqdefault.jpg""}, {""id"": ""8zl9mvoIwtI"", ""title"": ""[Y-STAR] Ahn Jaewook&#39;s recent bright lives (안재욱, 밝은 모습의 근황 공개돼 눈길)"", ""channel"": ""케이스타뉴스"", ""publishedAt"": ""2013-04-18T03:27:58Z"", ""thumb"": ""https://i.ytimg.com/vi/8zl9mvoIwtI/hqdefault.jpg""}, {""id"": ""q4ksx8NV2jI"", ""title"": ""2021 김해시 원도심 도시재생 주민공모사업 | 유퀴즈with김해 시즌2 타이틀 오프닝 영상"", ""channel"": ""로컬일번지"", ""publishedAt"": ""2021-08-09T08:18:57Z"", ""thumb"": ""https://i.ytimg.com/vi/q4ksx8NV2jI/hqdefault.jpg""}]"
선릉역 티저 예고편,2025-09-19T01:41:11.186569Z,"[{""id"": ""H5SO2vFKON8"", ""title"": ""땅파서 장사하는 도굴꾼들이 온다! [도굴] 티저 예고편"", ""channel"": ""CJ ENM Movie"", ""publishedAt"": ""2020-10-07T09:00:03Z"", ""thumb"": ""https://i.ytimg.com/vi/H5SO2vFKON8/hqdefault.jpg""}, {""id"": ""sYrd1U_WCRA"", ""title"": ""강남 음식점 알고 보니...   #자막뉴스"", ""channel"": ""KNN NEWS"", ""publishedAt"": ""2023-07-29T03:00:34Z"", ""thumb"": ""https://i.ytimg.com/vi/sYrd1U_WCRA/hqdefault.jpg""}, {""id"": ""aYgcJShjBuY"", ""title"": ""BJ#Card - 도굴 티저 예고편"", ""channel"": ""BJ#Card * Movie and TV Lounge * Mafia Origin A"", ""publishedAt"": ""2020-10-09T15:10:52Z"", ""thumb"": ""https://i.ytimg.com/vi/aYgcJShjBuY/hqdefault.jpg""}, {""id"": ""4fPWyBLkk6o"", ""title"": ""영화 &#39;도굴&#39; 예고편 (20.10.10)"", ""channel"": ""광고미학"", ""publishedAt"": ""2020-10-10T02:36:00Z"", ""thumb"": ""https://i.ytimg.com/vi/4fPWyBLkk6o/hqdefault.jpg""}]"
멜로가 체질 티저 예고편,2025-09-19T01:51:52.015567Z,"[{""id"": ""_7fVBKr7pic"", ""title"": ""[왓챠플레이] 《멜로가 체질》 예고편"", ""channel"": ""왓챠"", ""publishedAt"": ""2019-10-30T06:11:28Z"", ""thumb"": ""https://i.ytimg.com/vi/_7fVBKr7pic/hqdefault.jpg""}, {""id"": ""_E4l0D43kpo"", ""title"": ""멜로가 체질 예고편"", ""channel"": ""규니피그"", ""publishedAt"": ""2023-07-16T06:44:27Z"", ""thumb"": ""https://i.ytimg.com/vi/_E4l0D43kpo/hqdefault.jpg""}, {""id"": ""QzGw1UBXnIg"", ""title"": ""[티저 3] 멜로 맛집 오픈♥ 그 맛이 궁금하다면☞ 〈멜로가 체질 Be melodramatic〉 8／9 (금) 첫 방송"", ""channel"": ""JTBC Drama"", ""publishedAt"": ""2019-07-23T02:57:55Z"", ""thumb"": ""https://i.ytimg.com/vi/QzGw1UBXnIg/hqdefault.jpg""}, {""id"": ""cRgyTsy5jp8"", ""title"": ""[1회 예고] 나는 사랑 같은 거 안 해 ＜멜로가 체질(Be melodramatic)＞"", ""channel"": ""JTBC Drama"", ""publishedAt"": ""2019-08-02T14:48:44Z"", ""thumb"": ""https://i.ytimg.com/vi/cRgyTsy5jp8/hqdefault.jpg""}]"
홍제동 티저 예고편,2025-09-19T01:59:24.714167Z,"[{""id"": ""UmagF8Tmk6E"", ""title"": ""[소방관] 1차 예고편"", ""channel"": ""바이포엠스튜디오 BY4M STUDIO"", ""publishedAt"": ""2024-10-22T23:00:21Z"", ""thumb"": ""https://i.ytimg.com/vi/UmagF8Tmk6E/hqdefault.jpg""}, {""id"": ""mde-dW0lMfI"", ""title"": ""[소방관] 2차 예고편"", ""channel"": ""바이포엠스튜디오 BY4M STUDIO"", ""publishedAt"": ""2024-11-09T03:00:45Z"", ""thumb"": ""https://i.ytimg.com/vi/mde-dW0lMfI/hqdefault.jpg""}, {""id"": ""apA4U75gSRY"", ""title"": ""[모가디슈] 메인 예고편"", ""channel"": ""TOMM Creative Labs"", ""publishedAt"": ""2021-10-06T04:05:12Z"", ""thumb"": ""https://i.ytimg.com/vi/apA4U75gSRY/hqdefault.jpg""}, {""id"": ""P6XbltLMGDA"", ""title"": ""범죄도시2 예고편"", ""channel"": ""포트폴리오"", ""publishedAt"": ""2022-11-27T05:36:50Z"", ""thumb"": ""https://i.ytimg.com/vi/P6XbltLMGDA/hqdefault.jpg""}]"
