SEQ_NO,MEDIA_TY,TITLE_NM,PLACE_NM,PLACE_TY,RELATE_PLACE_DC,OPER_TIME,REST_TIME,RSTDE_GUID_CN,ADDR,LC_LA,LC_LO,TEL_NO,LAST_UPDT_DE
62,movie,1987,임진각,playground,영화 1987 초반부 김윤석이 차례를 지내는 곳,매일 00시 - 24시,정보없음,연중무휴,경기도 파주시 문산읍 임진각로 164,37.889542,126.740176,0319534744,20221118
63,movie,1987,문화공감수정,playground,영화 1987에 나온 부산역 카페,화-일 10시 - 17시,정보없음,월요일,부산광역시 동구 홍곡로 75,35.125713,129.042622,0514410004,20221118
64,movie,1987,연세대학교 신촌캠퍼스,playground,영화 1987에서 김태리가 다닌 대학교,매일 00시 - 24시,정보없음,연중무휴,서울특별시 서대문구 연세로 50,37.5637563,126.937546,0221232114,20221118
65,movie,1987,민주인권기념관,playground,1987 촬영지이자 박종철이 고문으로 사망한 곳,임시휴업,정보없음,임시휴업(~ 2023년 6월),서울특별시 용산구 한강대로71길 37,37.541025,126.971672,0313619500,20221118
66,movie,1987,천주교 서울대교구 주교좌명동대성당,playground,1987에서 김승훈 신부가 성명서를 발표한 곳,"화-토 11시 - 20시, 일 10시 - 20시, 월 성직자,수도자만",정보없음,연중무휴,서울특별시 중구 명동길 74,37.5632772,126.986827,027741784,20221118
67,movie,1987,서울특별시청,playground,영화 1987 마지막 장면의 배경이 된 장소,평일 09시 - 18시,12시 - 13시,주말,서울특별시 중구 세종대로 110,37.566291,126.977931,,20221118
68,movie,1987,연희네 슈퍼,playground,영화 1987에서 연희네 슈퍼로 나온 가게,매일 00시 - 24시,정보없음,연중무휴,전라남도 목포시 해안로127번길 14-2,34.78168,126.377325,0612708432,20221118
69,movie,1987,청남대,playground,1987에서 문성근과 김윤석이 만나는 곳,"하절기 화-일 09시 - 18시, 동절기 화-일 09시 - 17시",정보없음,월요일,충청북도 청주시 상당구 문의면 청남대길 646,36.46255,127.4906,0432575080,20221118
744,movie,가장 보통의 연애,얼큰이네토종순대국전문점 본점,restaurant,영화 가장 보통의 연애에서 순대국 먹은 곳,매일 10시 - (익일) 03시,정보없음,연중무휴,경기도 고양시 덕양구 권율대로 892,37.5690699,126.9130881,023813952,20221118
745,movie,가장 보통의 연애,성미골,restaurant,공효진의 통쾌한 복수신을 찍은 고기집,"월,수-목 16분 - 23시 30분, 금- 13시 - 23시 30분",정보없음,화요일,서울 마포구 월드컵로 137 102호,37.5590729,126.9049163,0231445757,20221118
746,movie,가장 보통의 연애,월스트리트,restaurant,영화 가장 보통의 연애에서 회식 장면을 찍은 곳,평일 10시 - (익일) 01시,정보없음,주말,서울특별시 강남구 테헤란로83길 13,37.5082595,127.0552221,025010522,20221118
747,movie,가장 보통의 연애,마포진짜원조최대포본점,restaurant,김래원과 공효진이 소주잔을 기울인 돼지고기 구이집,매일 11시 - 23시,정보없음,연중무휴,서울특별시 마포구 마포대로 112-4,37.544649,126.951868,050713339293,20221118
748,movie,가장 보통의 연애,마포나루 아크로점,restaurant,영화 가장 보통의 연애에서 회식장소로 나온 집,매일 10시 - 22시,평일만 14시 30분 - 16시 30분,"일요일, 공휴일",서울특별시 마포구 마포대로 68 마포아크로타워 지하 1층,37.5412579,126.9467487,027126822,20221118
