TIMES,DATE,KING
조선시대,1392~1398,태조
조선시대,1398~1400,정종
조선시대,1400~1418,태종
조선시대,1418~1450,세종
조선시대,1450~1452,문종
조선시대,1452~1455,단종
조선시대,1455~1468,세조
조선시대,1468~1469,예종
조선시대,1469~1494,성종
조선시대,1494~1506,연산
조선시대,1506~1544,중종
조선시대,1544~1545,인종
조선시대,1545~1567,명종
조선시대,1567~1608,선조
조선시대,1608~1623,광해
조선시대,1623~1649,인조
조선시대,1649~1659,효종
조선시대,1659~1674,현종
조선시대,1674~1720,숙종
조선시대,1720~1724,경종
조선시대,1724~1776,영조
조선시대,1776~1800,정조
조선시대,1800~1834,순조
조선시대,1834~1849,헌종
조선시대,1849~1863,철종
조선시대,1863~1897,고종
대한제국,1897~1910,고종
대한제국,1907~1910,순종
일제강점기,1910~1945,없음
군정기,1945~1948,존 리드 하지
대한민국 1공화국,1948~1960,이승만
대한민국 2공화국,1960~1963,윤보선
대한민국 3공화국,1963~1972,박정희
대한민국 4공화국,1972~1979,박정희
대한민국 4공화국,1979~1980,최규하
대한민국 4공화국,1980~1981,전두환
대한민국 5공화국,1981~1988,전두환
대한민국 6공화국,1988~1993,노태우
대한민국 6공화국,1993~1998,김영삼
대한민국 6공화국,1998~2003,김대중
대한민국 6공화국,2003~2008,노무현
